TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,79,37,42,0.468,3812.0,3416,7262,0.47,1059,2971,0.356,1426,1833,0.778,940,2561,3501,2330,1227.0,770,411,390,1515,1512,9317,-143.0,21,18,17,18,24,9,6,14,15,16,20,5,6,19,9,24,16,2,24,2,12,15,17,8,6,19
1610612738,Boston Celtics,80,59,21,0.738,3870.0,3329,7197,0.463,1420,3859,0.368,1233,1540,0.801,908,2707,3615,2087,950.0,568,438,287,1278,1408,9311,704.0,1,3,3,3,4,14,10,19,1,1,11,30,30,5,10,7,7,15,2,29,5,1,2,27,7,3
1610612751,Brooklyn Nets,79,26,53,0.329,3812.0,2979,6806,0.438,1067,3104,0.344,1289,1632,0.79,863,2400,3263,1987,1196.0,620,347,448,1624,1491,8314,-525.0,21,25,25,25,24,30,30,29,13,9,25,25,25,10,18,29,29,25,23,21,26,27,27,16,30,26
1610612766,Charlotte Hornets,80,19,61,0.238,3855.0,3074,7130,0.431,1039,3064,0.339,1251,1593,0.785,973,2634,3607,1946,1237.0,590,360,421,1505,1463,8438,-704.0,1,28,28,28,12,28,15,30,18,11,28,29,28,14,6,15,9,26,26,26,21,23,16,22,28,28
1610612741,Chicago Bulls,80,37,43,0.463,3855.0,3453,7349,0.47,1240,3366,0.368,1273,1575,0.808,797,2850,3647,2322,1177.0,603,375,406,1414,1343,9419,-178.0,1,18,19,19,12,5,4,15,3,3,10,27,29,3,25,1,5,4,20,25,18,18,6,30,5,20
1610612739,Cleveland Cavaliers,79,63,16,0.797,3797.0,3527,7154,0.493,1257,3273,0.384,1350,1728,0.781,875,2684,3559,2236,1034.0,651,336,338,1431,1499,9661,786.0,21,2,2,2,29,4,14,2,2,4,1,16,16,15,17,9,12,9,3,13,28,5,9,11,1,2
1610612742,Dallas Mavericks,80,38,42,0.475,3850.0,3356,7018,0.478,1000,2739,0.365,1431,1855,0.771,806,2630,3436,2016,1113.0,622,432,364,1433,1502,9143,-85.0,1,17,17,17,14,12,21,10,25,25,14,4,2,23,24,18,21,22,13,20,6,12,10,10,12,18
1610612743,Denver Nuggets,80,48,32,0.6,3875.0,3635,7181,0.506,969,2566,0.378,1420,1847,0.769,897,2755,3652,2482,1147.0,640,394,411,1414,1514,9659,296.0,1,7,8,8,3,1,13,1,27,30,4,6,5,24,12,3,3,1,18,16,14,19,6,7,2,9
1610612765,Detroit Pistons,79,43,36,0.544,3812.0,3359,7081,0.474,1003,2781,0.361,1383,1776,0.779,900,2651,3551,2080,1179.0,637,413,392,1634,1498,9104,160.0,21,14,14,14,24,11,17,13,23,24,17,10,12,18,11,13,13,17,21,18,10,16,28,12,15,13
1610612744,Golden State Warriors,80,47,33,0.588,3845.0,3266,7250,0.45,1235,3398,0.363,1342,1760,0.763,1019,2632,3651,2329,1121.0,745,378,433,1532,1482,9109,259.0,1,10,11,11,19,20,7,26,4,2,16,18,13,26,4,17,4,3,14,4,17,24,23,19,14,10
1610612745,Houston Rockets,80,52,28,0.65,3860.0,3398,7469,0.455,1008,2853,0.353,1348,1825,0.739,1177,2715,3892,1860,1110.0,676,402,460,1516,1549,9152,416.0,1,4,4,4,9,10,1,23,21,20,21,17,7,30,1,6,1,28,10,9,13,28,18,3,11,4
1610612754,Indiana Pacers,79,48,31,0.608,3817.0,3443,7025,0.49,1045,2822,0.37,1338,1691,0.791,711,2568,3279,2319,1039.0,668,420,343,1478,1474,9269,187.0,21,7,6,7,23,7,20,3,17,22,8,19,20,9,29,23,28,5,4,10,9,6,15,20,9,11
1610612746,LA Clippers,80,48,32,0.6,3860.0,3321,6911,0.481,1001,2687,0.373,1388,1740,0.798,825,2687,3512,2017,1192.0,756,365,345,1463,1420,9031,376.0,1,7,8,8,9,16,25,7,24,28,7,9,14,7,23,8,15,21,22,3,19,7,14,25,19,6
1610612747,Los Angeles Lakers,80,49,31,0.613,3850.0,3272,6840,0.478,1064,2916,0.365,1469,1863,0.789,775,2620,3395,2082,1111.0,613,355,333,1379,1543,9077,97.0,1,6,6,6,14,19,28,9,14,18,15,1,1,11,26,19,24,16,11,22,22,4,5,5,17,14
1610612763,Memphis Grizzlies,79,47,32,0.595,3797.0,3531,7370,0.479,1094,2987,0.366,1458,1853,0.787,1022,2726,3748,2247,1245.0,700,448,442,1650,1598,9614,387.0,21,10,8,10,29,3,3,8,11,14,13,2,4,13,3,4,2,8,27,7,4,26,29,2,4,5
1610612748,Miami Heat,80,36,44,0.45,3890.0,3211,6936,0.463,1094,2983,0.367,1282,1620,0.791,773,2679,3452,2102,1097.0,648,303,377,1250,1360,8798,-2.0,1,20,20,20,1,25,23,18,11,15,12,26,27,8,27,10,20,14,9,14,30,13,1,29,24,16
1610612749,Milwaukee Bucks,79,45,34,0.57,3802.0,3303,6812,0.485,1103,2875,0.384,1362,1816,0.75,653,2778,3431,2003,1057.0,576,365,303,1418,1493,9071,165.0,21,13,13,13,28,17,29,5,10,19,2,13,8,28,30,2,23,23,6,28,19,2,8,15,18,12
1610612750,Minnesota Timberwolves,79,46,33,0.582,3822.0,3228,6920,0.466,1189,3151,0.377,1353,1716,0.788,876,2615,3491,2063,1145.0,634,389,360,1442,1510,8998,357.0,21,12,11,12,22,22,24,16,5,7,5,15,18,12,16,20,18,18,17,19,15,11,11,9,20,7
1610612740,New Orleans Pelicans,79,21,58,0.266,3807.0,3218,7086,0.454,950,2717,0.35,1305,1730,0.754,955,2479,3434,2042,1157.0,681,423,415,1443,1416,8691,-684.0,21,27,27,27,27,24,16,24,28,26,23,22,15,27,7,27,22,20,19,8,7,21,12,26,26,27
1610612752,New York Knicks,79,50,29,0.633,3832.0,3438,7051,0.488,988,2677,0.369,1309,1636,0.8,859,2529,3388,2173,1048.0,639,313,396,1345,1490,9173,343.0,21,5,5,5,21,8,19,4,26,29,9,21,24,6,19,25,26,11,5,17,29,17,4,17,10,8
1610612760,Oklahoma City Thunder,80,66,14,0.825,3845.0,3563,7402,0.481,1159,3084,0.376,1336,1632,0.819,849,2722,3571,2145,941.0,827,457,385,1589,1452,9621,1006.0,1,1,1,1,19,2,2,6,6,10,6,20,25,1,21,5,10,12,1,1,2,14,25,24,3,1
1610612753,Orlando Magic,80,40,40,0.5,3850.0,3041,6861,0.443,893,2825,0.316,1436,1854,0.775,894,2459,3353,1830,1130.0,704,472,352,1612,1632,8411,-12.0,1,15,15,15,14,29,27,27,30,21,30,3,3,20,13,28,27,30,16,6,1,10,26,1,29,17
1610612755,Philadelphia 76ers,80,24,56,0.3,3865.0,3175,6977,0.455,1017,2971,0.342,1409,1808,0.779,828,2342,3170,1852,1087.0,739,354,411,1524,1498,8776,-477.0,1,26,26,26,6,26,22,22,20,16,27,7,9,17,22,30,30,29,8,5,23,19,22,12,25,25
1610612756,Phoenix Suns,80,35,45,0.438,3870.0,3297,6896,0.478,1142,3021,0.378,1366,1685,0.811,761,2634,3395,2222,1129.0,578,381,323,1453,1495,9102,-254.0,1,21,21,21,4,18,26,11,7,13,3,12,21,2,28,15,24,10,15,27,16,3,13,14,16,22
1610612757,Portland Trail Blazers,80,35,45,0.438,3860.0,3251,7215,0.451,1036,3023,0.343,1360,1777,0.765,1055,2508,3563,1904,1271.0,662,422,435,1522,1541,8898,-255.0,1,21,21,21,9,21,8,25,19,12,26,14,11,25,2,26,11,27,29,11,8,25,20,6,22,23
1610612758,Sacramento Kings,80,39,41,0.488,3880.0,3446,7212,0.478,1008,2822,0.357,1381,1718,0.804,880,2658,3538,2115,1068.0,609,352,347,1523,1487,9281,29.0,1,16,16,16,2,6,9,12,21,22,18,11,17,4,15,12,14,13,7,24,24,9,21,18,8,15
1610612759,San Antonio Spurs,80,33,47,0.413,3850.0,3344,7188,0.465,1134,3180,0.357,1297,1679,0.772,882,2609,3491,2298,1111.0,655,451,345,1343,1396,9119,-214.0,1,23,23,23,14,13,12,17,8,5,19,23,22,22,14,21,18,6,11,12,3,7,3,28,13,21
1610612761,Toronto Raptors,80,30,50,0.375,3865.0,3328,7265,0.458,944,2708,0.349,1271,1695,0.75,1006,2609,3615,2286,1233.0,645,343,472,1700,1459,8871,-323.0,1,24,24,24,6,15,5,20,29,27,24,28,19,29,5,21,7,7,25,15,27,29,30,23,23,24
1610612762,Utah Jazz,80,17,63,0.213,3865.0,3226,7080,0.456,1111,3162,0.351,1396,1805,0.773,955,2672,3627,2046,1382.0,542,352,514,1520,1547,8959,-721.0,1,29,29,29,6,23,18,21,9,6,22,8,10,21,7,11,6,19,30,30,24,30,19,4,21,29
1610612764,Washington Wizards,80,17,63,0.213,3850.0,3152,7190,0.438,1049,3132,0.335,1295,1661,0.78,853,2646,3499,1999,1247.0,612,412,415,1588,1465,8648,-991.0,1,29,29,29,14,27,11,28,16,8,29,24,23,16,20,14,17,24,28,23,11,21,24,21,27,30
